text,sentiment
rianklaas Donald Trump has had much harsher criticism toward Nordstrom for dropping Ivankas fashion line than he has toward MBS for,negative
huckCallesto BREAKING Trump Nears Changing Legal Definition Of Gender To Sex Assigned At Birth,neutral
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
TVcanal8 ideo  Presidente icolasMaduro a Trump Abra la frontera de EEUU y respete a los igrantes centroamericanos Le hacemo,negative
thethankfullyfew Adam Lambert fans who voted for 45 who may still follow methis is but the most recent of man,negative
olteNC Media need to do 3 things1 Stop making everything about them2 Stop lying ie Trump loved Robert E Lee3 More stra,negative
oshanKrRai  World leaders and their approach to problems Trump  Lets call a meeting Putin  Take strict measures to solve it,negative
627794 ealDonaldTrump Hi again everybody I claim Im Donald Trump your idiot President Im embarrassed by and apologize for my,negative
rycetache You probably dont know this When Bush was reelected in 2004 my partner and I immigrated to Canada to get married mp ado,negative
arneysNose loLake olapatty Linda you are missing out on a lot of nuance with your generalizations,negative
ictimism Perdi o sono e assisti um documentrio chamado Fake News  Baseado em Fatos Reais que fala sobre o papel das fake news na,negative
hiloe imChiChic Nope  Trans men and women are literally fighting for their right to be ackno,negative
appierman we are in bad times if you can vote do that of course but also if you can employ mp cast nbtrans people representati,negative
dale8 In March Trump said the Saudi military deals would produce 40000 jobsA week ago he made it 450000 jobs Wednesday 5000,neutral
ytimes The Trump administration is moving to exclude transgender people from civil rights protections  defining gender as either mal,negative
EXTpittsburgh What have we learned the last two years? Social media companies themselves dont understand social media Trump does,negative
aurenceParisot Quand Reagan et Gorbatchev se marraient et que le monde uvrait  la paix,neutral
tevenBeschloss Trump thinks condemning a brutal murder by the armsbuying Saudis is naive He thinks standing up for values like equa,negative
lueSea1964  Family Denied Service At Ruby Tuesday In Roanoke Rapids North Carolina Over ProTrump TShirt VIDEOluestarZone,negative
rizzlemeister I see getting ran over hasnt had a negative impact on your ability to write fiction,positive
ruhManInSoCal Evangelical Pastor Blasts Religious Leaders for Trading Their Moral Core In Support of Trumps OP And Urged True Ch,neutral
anyone who is involved in Voter Fraud should be held accountable Trump watching carefully for vot,negative
oingRight1  Veterans TrumpVote Midterms  F FB reenEyedCatemerican2boanneTirado09eanineCmchristi1odeofvets,positive
best to get your first analysis of recent events from oahpinion,negative
dear atriotsUnited  we are iranian atriots and need your help patriots have no border,neutral
aysHummingbird Nunes hid evidence on Trump mp Russian meddlingA top member of House Intelligence Committee has revealed shocking de,negative
Hmmmcancel the arms deal?Khashoggi sounds like a familiar name because his uncle was Adnan K,neutral
rycetache You probably dont know this When Bush was reelected in 2004 my partner and I immigrated to Canada to get married mp ado,negative
teph93065 Trump is begging us to send him a Congress he can work with He hasnt let us downlets not let him downealDonaldT,positive
altshaub Come on damn it Where is the fucking outrage? The UN says theres still time to stop an impending holocaust that is being,negative
harliekirk11 Since Trump took office Democrats haveTried to destroy Justice KavanaughMailed ricin to Sec Mattis Ted Cruz Don,negative
morenochavez Todo el sexenio ha sido igual el gobierno mexicano ha servido de polica de migracin del gobierno de EUHoy hemos vis,negative
homaskaine5 WARNING new trumppees tacticbeing niceit was easy to identify dumppees because they attacked  But now some are,negative
Ruhle CONGRESS IS NOT IN SESSION  ealDonaldTrump IS LYING,negative
ytimes You simply cant say theres no collusion because the investigation isnt over yet Even T,negative
lennKesslerWP Going through Trump speeches to update our database He tells audiences the opioid bill passed very little Democrat su,negative
enRoth Turkeys steady drips of leaks is destroying the credibility of the Saudi crown prince but it is also undermining what limited,negative
cottAdamsSays The antiTrump press is laying the groundwork for voter suppression to be the Russian collusion of the midterm elec,negative
rianklaas Donald Trump has had much harsher criticism toward Nordstrom for dropping Ivankas fashion line than he has toward MBS for,negative
